lote_id,centro,turno,metodo,lineas_pedido,distancia_m,tiempo_antes_min,tiempo_despues_min,incumple_sla,alarma_previa,demanda_repuestos,costo_final_clp
L0298,Norte,Manana,Guiado,32,105.9315,27.5111,27.1201,0,0,1,20136.0393
L0299,Centro,Tarde,Balanceado,35,505.1756,32.1604,39.0668,1,1,1,27720.0490
L0300,Sur,Tarde,Actual,35,518.4550,34.5222,37.0567,1,1,1,27116.9988
L0301,Norte,Tarde,Actual,28,312.6309,29.6768,28.2690,0,0,2,20480.7042
L0302,Centro,Tarde,Balanceado,29,260.6910,24.5403,24.9761,0,0,1,19492.8190
L0303,Sur,Manana,Guiado,30,832.1649,32.2401,28.0586,0,0,0,20417.5942
L0304,Norte,Manana,Guiado,26,137.0738,27.1033,22.8452,0,0,4,18853.5570
L0305,Centro,Tarde,Balanceado,29,528.8067,31.6880,25.7542,0,0,1,19726.2601
L0306,Sur,Manana,Balanceado,30,274.8013,30.0727,27.5930,0,0,2,20277.8881
L0307,Norte,Tarde,Actual,25,691.6159,31.5178,31.4103,0,1,3,21423.0767
L0308,Centro,Manana,Balanceado,32,642.1311,28.1739,21.7297,0,0,3,18518.9096
L0309,Sur,Manana,Guiado,28,282.6791,28.6408,26.4404,0,0,3,19932.1240
L0310,Norte,Tarde,Guiado,39,135.1719,30.3420,28.0256,0,0,2,20407.6776
L0311,Centro,Manana,Actual,37,116.0848,30.1169,23.6656,0,0,1,19099.6686
L0312,Sur,Tarde,Guiado,31,188.1775,32.0739,27.8930,0,0,0,20367.9048
L0313,Norte,Manana,Guiado,34,380.2691,27.0202,25.6318,0,0,4,19689.5306
L0314,Centro,Tarde,Balanceado,24,333.6386,27.5508,24.0775,0,0,1,19223.2484
L0315,Sur,Manana,Actual,33,644.8722,35.8979,34.4966,1,1,3,26348.9677
L0316,Norte,Manana,Guiado,37,838.9547,31.1596,33.7832,1,1,1,26134.9587
L0317,Centro,Tarde,Actual,26,476.1729,28.9966,28.5466,0,0,3,20563.9844
L0318,Sur,Tarde,Guiado,30,405.2503,32.7818,28.1204,0,0,2,20436.1230
L0319,Norte,Tarde,Actual,37,293.9609,28.0478,29.0871,0,1,4,20726.1296
L0320,Centro,Manana,Balanceado,35,430.6214,28.0864,24.8758,0,0,3,19462.7306
L0321,Sur,Manana,Actual,33,353.7610,26.7884,28.0640,0,0,0,20419.1866
L0322,Norte,Manana,Balanceado,36,479.1974,32.6255,28.7201,0,0,2,20616.0433
L0323,Centro,Tarde,Balanceado,36,209.5839,31.0510,28.0508,0,0,2,20415.2476
L0324,Sur,Manana,Actual,36,490.9088,33.3364,29.6027,0,0,3,20880.8229
L0325,Norte,Tarde,Guiado,31,558.2651,31.2706,28.2513,0,0,1,20475.4020
L0326,Centro,Manana,Guiado,45,344.1934,32.0632,28.9857,0,0,4,20695.7170
L0327,Sur,Tarde,Actual,32,830.4722,34.0018,35.9262,1,1,0,26777.8479
L0328,Norte,Tarde,Guiado,32,259.5862,26.8972,26.7297,0,0,2,20018.9239
L0329,Centro,Tarde,Actual,33,618.3588,34.3758,35.0735,1,1,1,26522.0471
L0330,Sur,Manana,Balanceado,39,582.8835,35.3227,27.5558,0,0,1,20266.7324
L0331,Norte,Manana,Balanceado,28,401.5678,26.1758,25.4423,0,0,5,19632.7013
L0332,Centro,Manana,Guiado,31,736.8550,32.0974,30.4151,0,0,3,21124.5399
L0333,Sur,Manana,Balanceado,26,343.7330,28.3997,23.5917,0,0,3,19077.5005
L0334,Norte,Tarde,Actual,32,448.4080,32.2765,29.5988,0,0,6,20879.6365
L0335,Centro,Manana,Balanceado,25,280.2397,28.5983,22.8056,0,0,1,18841.6747
L0336,Sur,Tarde,Guiado,27,548.0239,31.9696,26.3931,0,0,2,19917.9387
L0337,Norte,Tarde,Actual,16,175.9788,23.7732,22.1672,0,0,0,18650.1478
L0338,Centro,Manana,Actual,39,400.8814,31.6610,30.1379,0,0,2,21041.3831
L0339,Sur,Tarde,Actual,25,766.9870,34.0897,33.7307,1,1,3,26119.2002
L0340,Norte,Tarde,Guiado,33,320.0668,31.6194,31.6392,0,0,1,21491.7616
L0341,Centro,Tarde,Actual,27,608.2902,28.7712,32.7562,1,1,2,25826.8564
L0342,Sur,Manana,Actual,24,544.7345,27.6589,29.6346,0,0,4,20890.3745
L0343,Norte,Manana,Balanceado,33,570.9009,30.7335,24.1237,0,0,3,19237.0994
L0344,Centro,Manana,Guiado,34,433.5459,30.6861,27.9841,0,0,5,20395.2193
L0345,Sur,Tarde,Actual,28,465.5266,28.5672,31.8437,0,0,5,21553.0995
L0346,Norte,Manana,Actual,35,371.4018,32.6774,31.3278,0,0,3,21398.3419
L0347,Centro,Manana,Guiado,25,420.8769,26.9347,26.9511,0,0,1,20085.3397
L0348,Sur,Manana,Actual,27,805.9959,30.3779,33.3238,1,0,3,25997.1272
L0349,Norte,Manana,Balanceado,33,390.8699,30.3507,19.9590,0,0,1,17987.6976
L0350,Centro,Manana,Balanceado,32,632.6448,29.9889,29.7950,0,0,2,20938.5133
L0351,Sur,Manana,Guiado,32,192.6178,28.8380,25.8623,0,0,4,19758.6946
L0352,Norte,Manana,Guiado,41,436.9185,31.0505,30.5433,0,1,2,21162.9870
L0353,Centro,Tarde,Balanceado,28,661.1065,32.5249,25.6457,0,0,2,19693.7091
L0354,Sur,Manana,Balanceado,26,502.8221,27.9898,28.3753,0,0,1,20512.5966
L0355,Norte,Manana,Actual,33,637.7597,28.9615,29.1323,0,0,4,20739.6868
L0356,Centro,Manana,Actual,34,292.5857,27.8135,32.9150,1,1,4,25874.4923
L0357,Sur,Tarde,Guiado,29,395.8959,28.2416,29.8781,0,0,2,20963.4421
L0358,Norte,Tarde,Guiado,28,433.3575,26.6152,28.2932,0,0,4,20487.9495
L0359,Centro,Tarde,Balanceado,28,175.3896,26.1665,24.7092,0,0,2,19412.7669
L0360,Sur,Tarde,Guiado,23,281.4196,28.8368,28.4923,0,0,1,20547.6755
